"attribute_set","available_for","name","theme_bg","allerretour","category_ids","depart","destination","price","websites","sku","typebillet","theme_color","typesalle","description","short_description","image","status","store","visibility","groupscatalog2_groups","type","tax_class_id"
"barcodeticket","Adults","billet test","citoyen","","3","","","0.0100","base","885577411","","000000","","billet test","billet test","","Activé","francais","Catalogue, Recherche","[ USE DEFAULT ]","virtual","Taxable Goods"
"barcodeticket","Adults","Spectacle de Bernard Adamus - 38 $ taxes incluses","adamus","","4,8","","","33.0500","base","55668822","","000000","","<p><strong>Extrait&nbsp;: </strong>Grandement influenc&eacute; par le blues, Bernard Adamus se produit d&rsquo;abord en faisant des reprises de blues pour ensuite &eacute;crire ses propres textes en fran&ccedil;ais. On retrouve sur son deuxi&egrave;me album, <em>N<sup>o</sup>&nbsp;2</em>, sa prose incroyable. En r&eacute;sultent des arrangements qui d&eacute;foncent et lui donnent tout le coffre dont on s&rsquo;attend d&rsquo;un chanteur de cette grandeur.</p>
<p><strong>Bio&nbsp;: </strong>Arriv&eacute; &agrave; Montr&eacute;al &agrave; 3 ans pendant la Solidarność polonaise, le chansonneur en devenir absorbe tout de sa nouvelle ville d&rsquo;adoption et apprend &agrave; c&eacute;l&eacute;brer le pas propre de ses quartiers ainsi que les petites l&eacute;gendes de ses habitants.</p>
<p>Grandement influenc&eacute; par le blues, il se produit d&rsquo;abord en faisant des reprises de ce genre musical touchant et vrai, pour ensuite &eacute;crire ses propres textes en fran&ccedil;ais. C&rsquo;est ainsi que na&icirc;t <em>Brun</em> qui para&icirc;t sur Grosse Bo&icirc;te en octobre&nbsp;2009. Un hybride de blues, de jazz typique de New Orleans, o&ugrave; Adamus couche ses histoires de bonnes femmes, de brosses et d&rsquo;amis travers&eacute;es par une interpr&eacute;tation sentie qui vogue entre la grande chanson fran&ccedil;aise et le rap new-yorkais.</p>
<p><em>Brun </em>est salu&eacute; par la critique et l&rsquo;artiste se voit aussi r&eacute;compens&eacute; par le Festival en Chanson Petite-Vall&eacute;e qui lui remet 6 de ses 10 prix. Un d&eacute;luge de r&eacute;compenses suit.</p>
<p>En septembre 2012, Bernard Adamus revient &agrave; la charge avec <em>N<sup>o</sup>&nbsp;2</em>, album sur lequel on retrouve sa prose incroyable magnifiquement servie. En r&eacute;sultent des arrangements qui d&eacute;foncent et donnent &agrave; ce deuxi&egrave;me opus tout le coffre dont on s&rsquo;attend d&rsquo;un chanteur de cette grandeur.</p>
<p><strong>Site web&nbsp;: </strong><a href=""http://www.bernardadamus.com/accueil.cfm"">http://www.bernardadamus.com/accueil.cfm</a><strong></strong></p>","<p><strong style=""font-size: 12px;"">Date :</strong><span style=""font-size: 12px;""> samedi le 14 septembre 2013 </span></p>
<p><strong>Heure</strong> <strong>:</strong> 20 h, Admission g&eacute;n&eacute;rale</p>
<p><strong>Prix </strong>(taxes incluses)<strong>:</strong></p>
<p>Pr&eacute;vente: 33 $ (30 $ + 3 $ frais d'admission)</p>
<p>R&eacute;gulier: 38 $ (34 $ + 4 $ frais d'admission)</p>
<p><em>La pr&eacute;vente se termine le 31 ao&ucirc;t 2013</em></p>","/a/d/adamus.png","Désactivé","francais","Catalogue, Recherche","","virtual","Taxable Goods"
"barcodeticket","Adults","Spectacle de Karim Diouf - 22 $ taxes incluses","diouf","","4,8","","","19.1400","base","88799564","","000000","","<p><span><strong>Karim Diouf</strong>, artiste s&eacute;n&eacute;galais, nous pr&eacute;sente les chansons de son tout nouvel album&nbsp;</span><em>Adouna,</em><span>&nbsp;&laquo; Temps fort &raquo; dans la trajectoire de celui qu'on a connu au sein des Colocs, puis qui a br&ucirc;l&eacute; les planches aux c&ocirc;t&eacute;s de son fr&egrave;re &Eacute;lage ou encore dans le cadre de la tourn&eacute;e D&Eacute;LIRIUM&nbsp;du Cirque du Soleil.</span></p>
<p><strong>Site web&nbsp;:&nbsp;</strong><a href=""http://www.karimdiouf.com/"" target=""_blank"">http://www.karimdiouf.com/</a></p>","<p><span style=""font-size: 12px;""><strong>Date :</strong> vendredi le 4 octobre 2013</span></p>
<p><span style=""font-size: 12px;""><strong> Heure :</strong> 20h30,&nbsp;</span><span style=""font-size: 12px;"">Admission g&eacute;n&eacute;rale </span></p>
<p><strong><span style=""font-size: 12px;"">Prix </span></strong><span style=""font-size: 12px;"">(taxes incluses)</span><strong><span style=""font-size: 12px;"">:</span></strong></p>
<p><span style=""font-size: 12px;"">R&eacute;gulier: 22 $ (20 $ + 2 $ frais d'admission)</span></p>","/d/i/diouf_2.png","Désactivé","francais","Catalogue, Recherche","[ USE DEFAULT ]","virtual","Taxable Goods"
"barcodeticket","Adults","Spectacle de Patrick Norman - 51 $ taxes incluses","pnormand","","4,8","","","44.3600","base","776548767","","000000","","<p><span><strong>Patrick Norman</strong></span></p>
<p>Le 16 ao&ucirc;t 2011, Patrick Norman lan&ccedil;ait son 28e album en carri&egrave;re, <em>L'amour n'a pas d'adresse</em><strong>.&nbsp; </strong>Depuis ce temps, il est en tourn&eacute;e partout au Qu&eacute;bec pour y pr&eacute;senter le spectacle du m&ecirc;me nom. Avec&nbsp;le spectacle <em>L&rsquo;amour n&rsquo;a pas d&rsquo;adresse</em>, Patrick Norman exauce le v&oelig;u de nombreux admirateurs. Il y interpr&egrave;te plusieurs succ&egrave;s qu&rsquo;il vient tout juste de r&eacute;enregistrer, certaines de ces pi&egrave;ces n&rsquo;&eacute;tant plus disponibles sur disque. Entour&eacute; de deux musiciens, Jean-Guy Grenier et John McDiarmid, le chanteur et guitariste redonne &agrave; <em>Mille apr&egrave;s mille</em>, <em>La plus belle chanson</em>, <em>Vieillir ensemble</em> et autres <em>Six heures moins quart</em> la place qui leur revient, aux c&ocirc;t&eacute;s des autres classiques de son r&eacute;pertoire.</p>
<p><strong>Site web&nbsp;: </strong><a href=""http://www.patricknorman.ca/"">http://www.patricknorman.ca/</a></p>","<p><span style=""font-size: 12px;""><strong>Date :</strong> vendredi le 29 novembre 2013</span></p>
<p><span style=""font-size: 12px;""><strong> Heure :</strong> 20 h,&nbsp;</span><span style=""font-size: 12px;"">Admission g&eacute;n&eacute;rale </span></p>
<p><strong><span style=""font-size: 12px;"">Prix </span></strong><span style=""font-size: 12px;"">(taxes incluses)</span><strong><span style=""font-size: 12px;"">:</span></strong></p>
<p><span style=""font-size: 12px;"">Pr&eacute;vente: 46 $&nbsp;(42 $ + 4 $ frais d'admission)</span></p>
<p><span style=""font-size: 12px;"">R&eacute;gulier: 51 $ (47 $ + 4 $ frais d'admission)</span></p>
<p><em><span style=""font-size: 12px;"">La pr&eacute;vente se termine le 15 novembre 2013</span></em></p>","/p/n/pnormand_8.png","Désactivé","francais","Catalogue, Recherche","[ USE DEFAULT ]","virtual","Taxable Goods"
"barcodeticket","Adults","Spectacle d'Adib Alkhalidey - 33 $ taxes incluses","Adib","","4,8","","","28.7000","base","85612390","Salle Multi","000000","","<p><strong>Adib Alkhalidey</strong></p>
<p>Adib Alkhalidey est un auteur et humoriste gradu&eacute; de l'&Eacute;cole Nationale de l'Humour. Il int&egrave;gre l'&eacute;quipe Juste pour rire, engag&eacute; &agrave; titre d'auteur pour les one-man-shows de Neev et d&rsquo;Eddy King. Il signe ensuite son nom sur le projet <em>Les Parlementeries</em> 2010 et sur <em>Tout va bien</em>, le one-man-show de Maxim Martin. Il devient le reporter officiel de l'&eacute;mission <em>Nous avons les images</em> anim&eacute;e par Anthony Kavanagh et appara&icirc;t &agrave; plusieurs reprises &agrave; <em>Un gars le soir</em> anim&eacute;e par Jean-Fran&ccedil;ois Mercier en tant que chroniqueur.<strong></strong></p>
<p>Il a &eacute;galement &eacute;t&eacute; reporter &agrave; <em>Cliptoman</em> anim&eacute; par Mike Ward. Il a aussi particip&eacute; &agrave; <em>En route vers mon premier gala</em>, au Gala Juste pour rire 2011 de Guy Nantel et au Gala Juste pour rire 2012 de Mike Ward. Il a &eacute;t&eacute; concepteur, auteur et com&eacute;dien pour la web-s&eacute;rie <em>Avec des guns</em> de LIB TV, en plus de jouer dans la s&eacute;rie <em>Pare-chocs &agrave; pare-chocs</em> diffus&eacute;e sur TVA WEB et <em>Les Opineux</em> sur LIB TV. Adib a aussi fait partie de l&rsquo;&eacute;mission <em>Selon l&rsquo;opinion comique</em> sur MAtv.</p>
<p>L&rsquo;ann&eacute;e 2013 sera l&rsquo;ann&eacute;e des grandes r&eacute;alisations. Il est r&eacute;cipiendaire de l&rsquo;Olivier D&eacute;couverte de l&rsquo;ann&eacute;e. Fort de cette reconnaissance de l&rsquo;industrie, Adib pr&eacute;sente son premier one-man-show.</p>
<p><strong>Site web&nbsp;: </strong><a href=""http://www.adibalkhalidey.com/"">http://www.adibalkhalidey.com/</a></p>","<p><span style=""font-size: 12px;""><strong>Date :</strong> samedi le 19 octobre 2013</span></p>
<p><span style=""font-size: 12px;""><strong> Heure :</strong> 20 h,&nbsp;</span><span style=""font-size: 12px;"">Admission g&eacute;n&eacute;rale </span></p>
<p><strong><span style=""font-size: 12px;"">Prix </span></strong><span style=""font-size: 12px;"">(taxes incluses)</span><strong><span style=""font-size: 12px;"">:</span></strong></p>
<p><span style=""font-size: 12px;"">Pr&eacute;vente: 28 $ (25 $ + 3 $ frais d'admission)</span></p>
<p><span style=""font-size: 12px;"">R&eacute;gulier: 33$&nbsp;(30 $ + 3 $ frais d'admission)</span></p>
<p><em><span style=""font-size: 12px;"">La pr&eacute;vente se termine le 4 octobre 2013</span></em></p>","/a/d/adib.png","Désactivé","francais","Catalogue, Recherche","[ USE DEFAULT ]","virtual","Taxable Goods"
"barcodeticket","Adults","Spectacle de Daniel Boucher -  42 $ taxes incluses","dboucher","","4,8","","","36.5300","base","98712340","Salle Multi","000000","","<p><span style=""font-size: 12px;"">Daniel Boucher nous arrive en formation rock ultime&nbsp;: une guitare &eacute;lectrique, une basse, une batterie. Ses chansons, les neuves comme les moins neuves, prennent une dimension brute qu&rsquo;on ne leur connaissait pas encore. Son show, lui, d&eacute;colle comme un oiseau fou qui se permettrait de virer o&ugrave; il veut n&rsquo;importe quand. Aventure garantie.</span></p>
<p><strong>Site web&nbsp;: </strong><a href=""http://boucanebleue.com/"">http://boucanebleue.com/</a></p>","<p><span style=""font-size: 12px;""><strong>Date :</strong>&nbsp;samedi le 9 novembre 2013</span></p>
<p><span style=""font-size: 12px;""><strong> Heure :</strong> 20 h,&nbsp;</span><span style=""font-size: 12px;"">Admission g&eacute;n&eacute;rale </span></p>
<p><strong><span style=""font-size: 12px;"">Prix </span></strong><span style=""font-size: 12px;"">(taxes incluses)</span><strong><span style=""font-size: 12px;"">:</span></strong></p>
<p><span style=""font-size: 12px;"">Pr&eacute;vente: 39 $ (35 $ + 4 $ frais d'admission)</span></p>
<p><span style=""font-size: 12px;"">R&eacute;gulier: 42 $&nbsp;(38 $ + 4 $ frais d'admission)</span></p>
<p><em><span style=""font-size: 12px;"">La pr&eacute;vente se termine le 25 octobre 2013</span></em></p>","/d/b/dboucher.png","Désactivé","francais","Catalogue, Recherche","[ USE DEFAULT ]","virtual","Taxable Goods"
"barcodeticket","Adults","Spectacle des Cowboys fringants - prévente 37 $ taxes incluses","cowboys","","4,8","","","34.7900","base","91852368","Salle Multi","000000","","<p>En mars 2002, <em>Break syndical</em> devient l'album phare de la formation. La vague des Cowboys Fringants et de leurs fans aux chandails verts d&eacute;ferle sur le Qu&eacute;bec en entier. &Agrave; l'automne 2005, le groupe remporte le F&eacute;lix de la <em>chanson de l'ann&eacute;e </em>avec <em>Les &Eacute;toiles Filantes </em>et poursuivra sa tourn&eacute;e au Qu&eacute;bec et en Europe.</p>
<p><em>L&rsquo;Exp&eacute;dition </em>et <em>Sur un air de d&eacute;j&agrave; vu </em>sortent simultan&eacute;ment. L&rsquo;album principal qu&rsquo;est <em>L&rsquo;Exp&eacute;dition </em>se veut plus pos&eacute;, nuanc&eacute; et po&eacute;tique que ce &agrave; quoi le groupe nous avait habitu&eacute; auparavant. Le groupe fera de <em>L&rsquo;Exp&eacute;dition </em>sa &laquo;&nbsp;tourn&eacute;e verte&nbsp;&raquo; puisque le CO2 &eacute;mis par les v&eacute;hicules du groupe et des gens qui assistent aux spectacles est annul&eacute; par la plantation de 35&nbsp;000 arbres.</p>
<p>La Tourn&eacute;e de <em>L&rsquo;Exp&eacute;dition</em> se termine en septembre 2011, au terme de plus de 200 concerts dans la francophonie. Entre temps, les Cowboys peaufinent les chansons de leur huiti&egrave;me album, <em>Que du vent.</em></p>
<p>Des gens de toutes g&eacute;n&eacute;rations se sont greff&eacute;s aux amateurs des d&eacute;buts. &Agrave; ce jour, les Cowboys Fringants ont vendu plus de 800&nbsp;000 albums et leurs chansons ont &eacute;t&eacute; - et sont encore - le &laquo;&nbsp;d&eacute;cor&nbsp;&raquo; et la toile de fond de la vie de milliers de personnes.</p>
<p>&nbsp;</p>
<p><strong>Site web&nbsp;: </strong><a href=""http://www.cowboysfringants.com/?cat=6"">http://www.cowboysfringants.com/</a></p>","<p><strong style=""font-size: 12px;"">Date :</strong><span style=""font-size: 12px;""> samedi le 22 novembre 2013 </span></p>
<p><strong>Heure</strong> <strong>:</strong> 20 h, Admission g&eacute;n&eacute;rale</p>
<p><strong>Prix </strong>(taxes incluses)<strong>:</strong></p>
<p>Pr&eacute;vente: 37 $ (33 $ + 4 $ frais d'admission)</p>
<p>R&eacute;gulier: 40 $ (36 $ + 4 $ frais d'admission)</p>
<p><em>La pr&eacute;vente se termine le 8 novembre 2013</em></p>","/c/o/cowboys.jpg","Désactivé","francais","Catalogue, Recherche","[ USE DEFAULT ]","virtual","Taxable Goods"
"barcodeticket","Adults","Vélo - Supplément de 5$ pour Vélo a bord de la navette ferroviaire","velo","","51,52,53,54","","","4.3500","base","69578658","","000000","","<p><strong>V&eacute;lo</strong></p>
<p><strong>Frais de 5$ par jour sont exig&eacute;s pour le transport de la bicyclette.</strong></p>
<p><strong><span style=""font: 11.81px/17.99px Arial, Helvetica, sans-serif; text-align: left; color: #6a6969; text-transform: none; text-indent: 0px; letter-spacing: normal; word-spacing: 0px; float: none; display: inline !important; white-space: normal; font-size-adjust: none; font-stretch: normal; background-color: #ffffff; -webkit-text-stroke-width: 0px;"">Toute personne qui monte &agrave; bord d&rsquo;une navette ferroviaire avec une bicyclette doit l&rsquo;attacher au support pr&eacute;vu &agrave; cette fin. La bicyclette ne doit, en aucun temps, nuire &agrave; la s&eacute;curit&eacute; et la libre circulation des autres passagers. Aucune bicyclette ne peut &ecirc;tre laiss&eacute;e &agrave; bord d&rsquo;une navette ferroviaire. La personne qui voyage avec une bicyclette doit descendre de la navette ferroviaire avec celle-ci.&nbsp;&nbsp;</span></strong></p>
<p><strong></strong>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>","Vélo

Frais de 5$ par jour sont exigés pour le transport de la bicyclette.﻿

Toute personne qui monte à bord d’une navette ferroviaire avec une bicyclette doit l’attacher au support prévu à cette fin. La bicyclette ne doit, en aucun temps, nuire à la sécurité et la libre circulation des autres passagers. Aucune bicyclette ne peut être laissée à bord d’une navette ferroviaire. La personne qui voyage avec une bicyclette doit descendre de la navette ferroviaire avec celle-ci.  
","/v/e/velo.png","Activé","francais","Not Visible Individually","[ USE DEFAULT ]","virtual","Taxable Goods"
"barcodeticket","Adults","Spectacle des chemises carreautées - 28 $ taxes incluses","chemise","","4,8","","","24.3500","base","99911145","Salle Multi","000000","","<p style=""text-align: justify;""><em>Les Chemises Carreaut&eacute;es</em>, c&rsquo;est la transmission d&rsquo;une tradition au sein d&rsquo;une m&ecirc;me famille, de g&eacute;n&eacute;ration en g&eacute;n&eacute;ration. L&rsquo;arri&egrave;re-grand-p&egrave;re, Arthur Tremblay, le grand-p&egrave;re, Euloge Tremblay, le p&egrave;re, Jean-Claude Tremblay, ses fils, Serge et Guy, le beau-fr&egrave;re, Sylvain C&ocirc;t&eacute;, et une proche amie de la famille, Isabelle Bouchard.&nbsp;<br /><em style=""font-size: 12px;"">Les Chemises Carreaut&eacute;es</em><span style=""font-size: 12px;"">, c&rsquo;est une passion. La passion du plaisir de faire revivre nos soir&eacute;es d&rsquo;antan &agrave; travers une musique aux rythmes enlevants, caract&eacute;ris&eacute;e, entre autre, par l&rsquo;accord&eacute;on canadien diatonique, des bribes de contes et d&rsquo;histoires rocambolesques et des chansons &agrave; r&eacute;pondre qui nous d&eacute;peignent la vie et le folklore de nos anc&ecirc;tres dans un humour l&eacute;g&egrave;rement grivois mais toujours de bon go&ucirc;t.</span></p>","<p><span style=""font-size: 12px;""><strong>Date :</strong> vendredi le 13 d&eacute;cembre 2013</span></p>
<p><span style=""font-size: 12px;""><strong> Heure :</strong> 20 h,&nbsp;</span><span style=""font-size: 12px;"">Admission g&eacute;n&eacute;rale </span></p>
<p><strong><span style=""font-size: 12px;"">Prix </span></strong><span style=""font-size: 12px;"">(taxes incluses)</span><strong><span style=""font-size: 12px;"">:</span></strong></p>
<p><span style=""font-size: 12px;"">Pr&eacute;vente: 22 $&nbsp;(20 $ + 2 $ frais d'admission)</span></p>
<p><span style=""font-size: 12px;"">R&eacute;gulier: 28 $ (25 $ + 3 $ frais d'admission)</span></p>
<p><em><span style=""font-size: 12px;"">La pr&eacute;vente se termine le 29 novembre 2013</span></em></p>","/c/h/chemise_carreautes.jpg","Désactivé","francais","Catalogue, Recherche","[ USE DEFAULT ]","virtual","Taxable Goods"
"barcodeticket","Adults","Grands Explorateurs, Trésors de Birmanie -  29 $ taxes incluses","burma","","4,8","","","25.2200","base","55522264","Salle Multi","000000","","<p>La Birmanie, maintenant appel&eacute;e Myanmar, est un pays encore m&eacute;connu, impr&eacute;gn&eacute; de traditions mill&eacute;naires. Il constitue un carrefour culturel unique en Asie du Sud-Est.<br /> <br /> En 2004, dans un contexte de dictature militaire, Lynda Paquette et Martin Parent, g&eacute;ologues de profession et couple de globe-trotteurs, visitent la Birmanie pour la premi&egrave;re fois. Ce pays myst&eacute;rieux est pourtant parvenu &agrave; les fasciner et &agrave; les bouleverser d&egrave;s la premi&egrave;re foul&eacute;e, si bien que l&rsquo;id&eacute;e d&rsquo;y consacrer un film s&rsquo;est impos&eacute;e naturellement.&nbsp;<br /> <br /> Vivez une incursion &eacute;mouvante dans la culture birmane et dans les r&eacute;alit&eacute;s d&rsquo;un peuple demeur&eacute; trop longtemps invisible au reste du monde. Faites connaissance avec :</p>
<ul>
<li>les montagnes de l&rsquo;&Eacute;tat Shan</li>
<li>le c&eacute;l&egrave;bre lac Inle</li>
<li>le fleuve Ayeyarwady</li>
<li>le site arch&eacute;ologique de Bagan</li>
<li>les p&egrave;lerins du rocher d&rsquo;Or</li>
<li>la pagode Shwedagon</li>
</ul>
<p><span style=""font-size: 12px;"">Apr&egrave;s 50 ans de dictature militaire, tous les espoirs sont d&eacute;sormais permis pour les Birmans. Ce film est une fa&ccedil;on de rendre hommage &agrave; cette p&eacute;riode charni&egrave;re dans l&rsquo;histoire moderne de ce pays d&eacute;sormais ouvert sur le monde.</span></p>
<p><br /> <span style=""text-decoration: underline;"">LYNDA PAQUETTE ET MARTIN PARENT</span><br /> <br /> Lynda Paquette et Martin Parent voyagent aux quatre coins du monde depuis une vingtaine d'ann&eacute;es. &Agrave; ce jour, le couple de globetrotters a visit&eacute; une quarantaine de pays. Que ce soit lors d'un trek aux confins de la Patagonie ou dans un <em>teashop</em> anim&eacute; en Birmanie, ils se laissent toujours guider par le d&eacute;sir de d&eacute;couvrir des cultures, des gens et des lieux diff&eacute;rents.&nbsp;<br /> <br /> <strong>Site web&nbsp;: </strong><a href=""http://www.lesgrandsexplorateurs.com/programmation-2013-tresors-de-birmanie"">http://www.lesgrandsexplorateurs.com/programmation-2013-tresors-de-birmanie</a><strong></strong></p>
<p><strong>&nbsp;</strong></p>","<p><span style=""font-size: 12px;""><strong>Date :</strong> vendredi le 7 f&eacute;vrier 2014</span></p>
<p><span style=""font-size: 12px;""><strong> Heure :</strong> 20 h,&nbsp;</span><span style=""font-size: 12px;"">Admission g&eacute;n&eacute;rale </span></p>
<p><strong><span style=""font-size: 12px;"">Prix </span></strong><span style=""font-size: 12px;"">(taxes incluses)</span><strong><span style=""font-size: 12px;"">:</span></strong></p>
<p><span style=""font-size: 12px;"">Pr&eacute;vente:</span><strong><span style=""font-size: 12px;"">&nbsp;</span></strong><span style=""font-size: 12px;"">25 $&nbsp;</span><span style=""font-size: 12px;"">(22 $ + 3 $ frais d'admission)</span></p>
<p><span style=""font-size: 12px;"">R&eacute;gulier: 29 $ (26 $ + 3 $ frais d'admission)</span></p>
<p><em><span style=""font-size: 12px;"">La pr&eacute;vente se termine le 24 janvier 2014</span></em></p>","/g/r/grand_explorateurannulation.jpg","Désactivé","francais","Catalogue, Recherche","[ USE DEFAULT ]","virtual","Taxable Goods"
